context,donor,projectCode,projectTitle,projectOwner,projectOwnerType,implementingPartner,implementingPartnerType,cluster,activity,startDate,endDate,status,province,district,activityTargetNumber,activityAchievedNumber,activityUnit,familiesTarget,woomenTarget,menTartet,girlsTarget,boysTarget,otherBeneficiariesTarget,families,women,men,girls,boys,otherBeneficiaries,distCode
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,31-Mar-14,Completed,FATA,Kurram Agency,60,,# of consultations held,,360,840,,,,,,,,,,403
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,31-Mar-14,Completed,FATA,Kurram Agency,2,2,# of grievance desks,"1,537","1,610","1,681","1,897","2,560",,66,69,73,82,109,,403
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,31-Mar-14,Completed,FATA,Kurram Agency,12,12,# of training events,,80,160,,,,,80,160,,,,403
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,31-Mar-14,Completed,FATA,Kurram Agency,500,207,# of persons supported ,,200,300,,,,,83,124,,,,403
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,31-Jan-14,Completed,Khyber Pakhtunkhwa,Hangu,15,,# of consultations held,,100,200,,,,,,,,,,208
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,31-Jan-14,Completed,Khyber Pakhtunkhwa,Hangu,2,2,# of grievance desks,"1,159","1,238","1,157","1,572","1,805",,,,,,,,208
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,31-Jan-14,Completed,Khyber Pakhtunkhwa,Hangu,6,2,# of training events,,40,80,,,,,14,36,,,,208
SRP,UNHCR,UNHCR/PAK01/2014/Pillar 4/0000000575/000,"Site Maintenance, Protection and Community Services",UNHCR,UN,CERD,NGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,31-Jan-14,Completed,Khyber Pakhtunkhwa,Hangu,200,119,# of persons supported ,,50,150,,,,,11,108,,,,208
SRP,UNHCR,,Protection Monitoring and Legal assistance,UNHCR,UN,EHSAR,NGO,Protection,Number of IDPs consulted gender disaggregated,1-Feb-14,,Ongoing,Khyber Pakhtunkhwa,Hangu,,24,# of consultations held,,"2,829","2,992",,,,,340,627,,,,208
SRP,UNHCR,,Protection Monitoring and Legal assistance,UNHCR,UN,EHSAR,NGO,Protection,"Number of eligible cases addressed through grievances desks including problem in registeration, Gender disaggregated",1-Feb-14,,Ongoing,Khyber Pakhtunkhwa,Hangu,2,2,# of grievance desks,"1,159",,,,,,54,,,,,,208
